2023-10-21 22:43:50,555 p=128758 u=igor n=ansible | [WARNING]: Invalid characters were found in group names but not replaced, use -vvvv to see details
2023-10-21 22:46:05,729 p=128758 u=igor n=ansible | TASK [filebeat : Update] ***********************************************************************************************************
2023-10-21 22:46:07,650 p=128758 u=igor n=ansible | ok: [172.16.121.33]
2023-10-21 22:46:07,798 p=128758 u=igor n=ansible | ok: [172.16.122.6]
2023-10-21 22:46:07,804 p=128758 u=igor n=ansible | TASK [filebeat : Download filebeat] ************************************************************************************************
2023-10-21 22:46:10,322 p=128758 u=igor n=ansible | changed: [172.16.121.33]
2023-10-21 22:46:10,902 p=128758 u=igor n=ansible | changed: [172.16.122.6]
2023-10-21 22:46:10,908 p=128758 u=igor n=ansible | TASK [filebeat : Install filebeat] *************************************************************************************************
2023-10-21 22:46:22,896 p=128758 u=igor n=ansible | changed: [172.16.121.33]
2023-10-21 22:46:22,966 p=128758 u=igor n=ansible | changed: [172.16.122.6]
2023-10-21 22:46:22,972 p=128758 u=igor n=ansible | TASK [filebeat : Copy config] ******************************************************************************************************
2023-10-21 22:46:24,055 p=128758 u=igor n=ansible | changed: [172.16.121.33]
2023-10-21 22:46:24,197 p=128758 u=igor n=ansible | changed: [172.16.122.6]
2023-10-21 22:46:24,202 p=128758 u=igor n=ansible | TASK [filebeat : started filebeat] *************************************************************************************************
2023-10-21 22:46:24,939 p=128758 u=igor n=ansible | changed: [172.16.121.33]
2023-10-21 22:46:25,012 p=128758 u=igor n=ansible | changed: [172.16.122.6]
2023-10-21 22:46:25,018 p=128758 u=igor n=ansible | TASK [filebeat : enable filebeat] **************************************************************************************************
2023-10-21 22:46:26,092 p=128758 u=igor n=ansible | changed: [172.16.122.6]
2023-10-21 22:46:26,119 p=128758 u=igor n=ansible | changed: [172.16.121.33]
2023-10-21 22:46:26,124 p=128758 u=igor n=ansible | TASK [filebeat : Restart] **********************************************************************************************************
2023-10-21 22:46:26,891 p=128758 u=igor n=ansible | changed: [172.16.122.6]
2023-10-21 22:46:27,259 p=128758 u=igor n=ansible | changed: [172.16.121.33]
2023-10-21 22:46:27,265 p=128758 u=igor n=ansible | RUNNING HANDLER [zabbix-agent : zabbix-agent] **************************************************************************************
2023-10-21 22:46:28,075 p=128758 u=igor n=ansible | changed: [172.16.121.33]
2023-10-21 22:46:28,147 p=128758 u=igor n=ansible | changed: [172.16.122.6]
2023-10-21 22:46:28,155 p=128758 u=igor n=ansible | PLAY [elastic-elvm] ****************************************************************************************************************
2023-10-21 22:46:28,160 p=128758 u=igor n=ansible | TASK [Gathering Facts] *************************************************************************************************************
2023-10-21 22:46:29,521 p=128758 u=igor n=ansible | ok: [172.16.121.29]
2023-10-21 22:46:29,530 p=128758 u=igor n=ansible | TASK [elasticsearch : Update] ******************************************************************************************************
2023-10-21 22:46:43,283 p=128758 u=igor n=ansible | changed: [172.16.121.29]
2023-10-21 22:46:43,290 p=128758 u=igor n=ansible | TASK [elasticsearch : Download elasticsearch] **************************************************************************************
2023-10-21 22:46:58,821 p=128758 u=igor n=ansible | changed: [172.16.121.29]
2023-10-21 22:46:58,826 p=128758 u=igor n=ansible | TASK [elasticsearch : Install java default] ****************************************************************************************
2023-10-21 22:48:36,761 p=128758 u=igor n=ansible | changed: [172.16.121.29]
2023-10-21 22:48:36,767 p=128758 u=igor n=ansible | TASK [elasticsearch : Install elasticsearch] ***************************************************************************************
2023-10-21 22:49:17,107 p=128758 u=igor n=ansible | changed: [172.16.121.29]
2023-10-21 22:49:17,119 p=128758 u=igor n=ansible | TASK [elasticsearch : Copy config] *************************************************************************************************
2023-10-21 22:49:18,270 p=128758 u=igor n=ansible | changed: [172.16.121.29]
2023-10-21 22:49:18,282 p=128758 u=igor n=ansible | TASK [elasticsearch : started elasticsearch] ***************************************************************************************
2023-10-21 22:49:32,817 p=128758 u=igor n=ansible | changed: [172.16.121.29]
2023-10-21 22:49:32,827 p=128758 u=igor n=ansible | TASK [elasticsearch : enable elasticsearch] ****************************************************************************************
2023-10-21 22:49:34,375 p=128758 u=igor n=ansible | changed: [172.16.121.29]
2023-10-21 22:49:34,396 p=128758 u=igor n=ansible | PLAY [kibana-elvm] *****************************************************************************************************************
2023-10-21 22:49:34,403 p=128758 u=igor n=ansible | TASK [Gathering Facts] *************************************************************************************************************
2023-10-21 22:49:35,808 p=128758 u=igor n=ansible | ok: [172.16.121.20]
2023-10-21 22:49:35,818 p=128758 u=igor n=ansible | TASK [nginx : Install nginx] *******************************************************************************************************
2023-10-21 22:49:59,122 p=128758 u=igor n=ansible | changed: [172.16.121.20]
2023-10-21 22:49:59,128 p=128758 u=igor n=ansible | TASK [nginx : Copy config] *********************************************************************************************************
2023-10-21 22:50:00,210 p=128758 u=igor n=ansible | changed: [172.16.121.20]
2023-10-21 22:50:00,216 p=128758 u=igor n=ansible | TASK [nginx : Copy index.html] *****************************************************************************************************
2023-10-21 22:50:01,286 p=128758 u=igor n=ansible | changed: [172.16.121.20]
2023-10-21 22:50:01,292 p=128758 u=igor n=ansible | TASK [nginx : replace in sql files] ************************************************************************************************
2023-10-21 22:50:01,863 p=128758 u=igor n=ansible | changed: [172.16.121.20]
2023-10-21 22:50:01,869 p=128758 u=igor n=ansible | TASK [nginx : Restart nginx] *******************************************************************************************************
